open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp,close_timestamp,exchange,symbol,spread_bps,bid,ask,bid_size,ask_size,funding_rate,returns,volatility,trend,momentum,regime
1613433600000,129.9493,133.4925,126.0,130.183,3258276.714,1613519999999,423640104.8636006,616879,1608528.808,209214194.8675469,0,2021-02-16,2021-02-16 23:59:59.999,binance,BNBUSDT,5.0,130.15045425,130.21554575,325827.67140000005,325827.67140000005,-0.0001401962831576943,-0.0009209304467280299,8.89516430670271,,1.8382405842917096,high_vol
1613520000000,130.183,175.9997,126.7546,165.3233,10185662.26,1613606399999,1540919651.6330936,1654588,5245414.901,792880237.8561211,0,2021-02-17,2021-02-17 23:59:59.999,binance,BNBUSDT,5.0,165.281969175,165.364630825,1018566.226,1018566.226,2.196110928818913e-06,0.26993002158499957,9.675614399809534,,2.646204776230007,high_vol
1613606400000,165.3176,199.88,162.7969,195.6,11226893.373,1613692799999,2093727364.8790953,2106653,5657234.091,1056336845.7121124,0,2021-02-18,2021-02-18 23:59:59.999,binance,BNBUSDT,5.0,195.5511,195.6489,1122689.3373,1122689.3373,-1.2403242112918285e-06,0.18313631532881325,9.73477363829248,,3.5997446154063226,high_vol
1613692800000,195.5549,348.6969,194.9279,333.111,20188858.198,1613779199999,5528652618.860825,4491728,10318236.699,2828404226.3620553,0,2021-02-19,2021-02-19 23:59:59.999,binance,BNBUSDT,5.0,333.02772225,333.19427775,2018885.8198,2018885.8198,-0.00021248357926830557,0.703021472392638,14.664085101019914,,6.818240707491039,high_vol
1613779200000,333.2212,335.0,223.0,253.0,13497656.247,1613865599999,3803591547.448211,3476190,6630970.895,1870410142.65804,0,2021-02-20,2021-02-20 23:59:59.999,binance,BNBUSDT,5.0,252.93675000000002,253.06325,1349765.6247,1349765.6247,8.678303123612298e-06,-0.2404934091038723,15.388225858459418,,5.548585065602327,high_vol
1613865600000,253.01,309.4995,249.7044,295.2597,10646422.307,1613951999999,3016515097.5884132,2525329,5465511.067,1549414473.0323377,0,2021-02-21,2021-02-21 23:59:59.999,binance,BNBUSDT,5.0,295.18588507500004,295.33351492500003,1064642.2307,1064642.2307,3.954177740872018e-05,0.16703438735177878,15.463998516600501,,6.220193379893186,high_vol
1613952000000,294.9167,296.0,220.5,267.5147,12604399.402,1614038399999,3304868176.0392327,2806150,6230811.548,1634263433.5647347,0,2021-02-22,2021-02-22 23:59:59.999,binance,BNBUSDT,5.0,267.447821325,267.581578675,1260439.9402,1260439.9402,-9.80366978244925e-05,-0.09396812365520935,15.691181814492163,,5.5389590549217935,high_vol
1614038400000,267.1721,269.444,186.1,231.3646,15879767.559,1614124799999,3533975184.1142673,3227858,7774847.038,1731886938.4771376,0,2021-02-23,2021-02-23 23:59:59.999,binance,BNBUSDT,5.0,231.30675885,231.42244115000003,1587976.7559000002,1587976.7559000002,-7.312359154866065e-05,-0.1351331347398853,16.079135505814254,,4.531557895391177,high_vol
1614124800000,231.3646,281.0,213.0257,254.5056,11777825.187,1614211199999,2968825220.6605544,2798601,6004023.023,1513501759.601709,0,2021-02-24,2021-02-24 23:59:59.999,binance,BNBUSDT,5.0,254.44197359999998,254.56922640000002,1177782.5187000001,1177782.5187000001,-7.923131763326304e-05,0.10001962270805476,16.037683123640104,,5.083600456080718,high_vol
1614211200000,254.3826,265.4014,231.5,234.9146,6871992.794,1614297599999,1718504824.0212388,1774378,3452288.397,864352539.8770038,0,2021-02-25,2021-02-25 23:59:59.999,binance,BNBUSDT,5.0,234.85587135,234.97332865,687199.2794,687199.2794,-6.437280984548801e-06,-0.07697669520827821,16.19805314815941,,4.614647367565656,high_vol
